personaje,imdb_rating,episode_id,genero
marge simpson,-0.1297565902215812,0.0198731009849242,F
homer simpson,0.1149768048231685,-0.078430390783466,M
seymour skinner,0.064158448966062,-0.0142751379677113,M
janey,0.117573491550078,-0.1381628879681022,F
todd flanders,0.0890912516579734,-0.0922748729458129,M
dewey largo,-0.0682541213469011,0.0634784162807921,M
children,0.041039076775931,-0.073672316550171,
bart simpson,0.1192903734513732,-0.1424548413179548,M
lisa simpson,-0.0495106477030964,0.040551688808516,F
patty bouvier,0.0330034383628925,-0.0855455385697757,F
ned flanders,0.0240755764572257,0.0002859635011407,M
waylon smithers,0.2101936224674555,-0.1628053061042911,M
c montgomery burns,0.1087897617864516,-0.0869003144360976,M
moe szyslak,-0.0373707509329018,0.0995395298171372,M
barney gumble,0.2169152267826758,-0.2049305477695724,M
students,0.0994330042385932,-0.0734633431533017,
teacher,0.0751851433030642,-0.123379212499399,
selma bouvier,0.0221796908466397,-0.0569385626820726,F
voice,0.032778432808418,-0.0783936100202399,
little boy,0.0647294116909172,-0.064274767676473,M
milhouse van houten,-0.0434325256928575,0.0975120301871999,M
lewis clark,0.1107703840953247,-0.1977478122409215,M
clerk,0.050129940755649,-0.0826880890817473,M
grampa simpson,-0.0355440790249697,-0.0228425653128221,M
father,0.0487392596424653,-0.0340743935771626,F
announcer,0.092579750133131,-0.123668375823391,
martin prince,0.0891124596546353,-0.0628313772294123,M
kids,0.0083312835619912,0.0410295097507939,
edna krabappel-flanders,0.0393850991795594,-0.0419000571127518,F
conductor,-0.0914607935049009,-0.0138334132505935,M
secretary,0.0214237461039729,-0.0421740707515813,F
otto mann,0.053198695208259,-0.0823469733449834,M
wendell borton,0.0233387224628357,-0.0726693662814094,M
sherri mackleberry,-0.0334945118168531,-3.950739101670489e-05,F
terri mackleberry,-0.0190024892858716,-0.0233902386932898,F
narrator,0.0079553839972766,0.0220512895183826,M
foreman,0.0152218499500481,-0.0591131257462962,M
chief wiggum,0.0195542130520811,0.0149919271086549,M
crowd,-0.0586668515810257,0.039901921404712,
eddie,0.144621734299298,-0.1555532109731053,M
lou,-0.0485376307417556,0.0620992758849355,M
dr marvin monroe,0.0507981342152423,-0.1226020110507751,M
receptionist,0.0584151207438906,-0.0430418067793859,F
nelson muntz,-0.04786467529753,0.0913559822132853,M
kid,0.0486609754075024,-0.0314658319629849,
maggie simpson,0.0671344456746826,-0.0200772660067961,F
herman hermann,0.0891631701163949,-0.1105995295316055,M
all,0.0720745144279259,-0.1254175380940988,
jacqueline bouvier,0.0067615490217187,-0.081270005732023,F
barflies,-0.0082191097817057,0.0385116880790209,
cashier,-0.0168707459520495,0.0372366652288175,
woman,0.0559599026390927,-0.089324334484137,
ralph wiggum,0.029860352736479,-0.045786664587887,M
rod flanders,0.016907772183549,-0.0086322527677005,M
salesman,0.032166967448661,-0.0325803566490414,M
reporter 1,0.0556956250059239,-0.0739772166342069,M
man 2,0.052350408420351,-0.1183355061809718,M
krusty the clown,-0.0762419709707228,-0.012227264387852,M
rev timothy lovejoy,0.001970758863004,-0.0147154181602505,M
jimbo jones,-0.0457687542369448,0.0840745729205685,M
kearney zzyzwicz,-0.1365319981714001,0.1265915134700055,M
dolph,-0.1479295684424606,0.1820579166903511,M
usher,0.0164207731883442,-0.0276623192056846,M
sideshow bob,0.0619300892263989,-0.0511485632279777,M
mob,0.0444845372440504,-0.0440966692565288,
security guard,0.0115319938506488,-0.000615657469411,M
lenny leonard,-0.1055019188521022,0.1981246147345399,M
carl carlson,-0.1053713045035993,0.1873754847503519,M
waiter,-0.037009649361407,0.0047301402204247,M
workers,0.0551553759806209,-0.0247062187160654,
manager,0.0635150677299998,-0.0636129762514985,M
stage manager,-0.0293894935332892,-0.0061792332372194,M
gulliver dark,-0.100718730368001,-0.022457403622445,M
krusty doll,0.0574364305008964,-0.0656685724203208,M
agnes skinner,-0.065046419108787,0.0390433635359545,F
mother,-0.0082644058029821,-0.0218181284422877,F
female announcer,0.0109366909153356,-0.0558536286755806,F
apu nahasapeemapetilon,0.034185544136934,-0.0339625320228285,M
kent brockman,0.0590715974528942,-0.0617505504696188,M
lawyer,0.0414239400508171,-0.09603927262226,M
judge snyder,0.0187836339184648,-0.0619141473369797,M
director,0.0524596635898586,-0.0498020699308341,M
arnie pye,0.0160045730720563,-0.0005041704190796,M
radio announcer,0.0797061653794388,-0.0862530375105297,M
nurse,0.066330903254838,-0.0923821497347876,F
marty,0.098998366949274,-0.1417086173158901,M
bill,0.0846649730928841,-0.1339973767387186,M
mayor joe quimby,0.0524067618975023,-0.0208414930325169,M
kang,-0.0185883634667477,-0.0034653236429702,M
kodos,-0.0573918147609868,0.0383518195696833,M
dave shutton,0.0334912181703266,-0.0673701845746003,M
tv announcer,0.0572939905309595,-0.0859022165504369,M
jasper beardly,0.1252768133810811,-0.1322681297646231,M
singers,0.0342025575657737,-0.002549246760777,
vendor,0.0654690284755002,-0.0501858082631079,M
maude flanders,0.1846591616895597,-0.1867168899223702,F
helen lovejoy,-0.035512650356238,0.0425467621511424,F
librarian,0.0116850502724755,-0.0175333957823211,F
man,0.1087203297949394,-0.098005613042162,M
announcer 2,0.0124214198156701,0.0044770856246308,M
audience,-0.1089015733537059,0.0972089533026299,
dr julius hibbert,0.0213873109905158,-0.0389129376018154,M
scratchy,-0.0069634453417904,-0.0099722385169036,M
itchy,-0.0045812194647102,-0.0060035164366237,M
reporter,0.0663716853689995,-0.0578657664715836,M
lionel hutz,0.0888230643923244,-0.1506713666755662,M
dr nick riviera,0.1497965569505317,-0.1143458902371086,M
bailiff,-0.0415400718720127,0.0210001859013851,M
blue-haired lawyer,-0.0100180570745573,0.0060043816499056,M
larry,0.0180995512536927,-0.0378728440373624,M
groundskeeper willie,-0.0018964007887892,0.0257263758351493,M
mona simpson,0.0347645185728311,-0.0007731455723605,F
attendant,0.048026694620445,-0.0508001708563862,M
troy mcclure,0.0747676723849894,-0.1010285255436503,M
farmer,-0.030082127386908,0.0213502300015907,M
guard,0.0130182321729706,0.0250630159723333,M
professor jonathan frink,-0.0116290768479105,0.0789543470282143,M
delivery man,-0.0174543423898088,-0.0293110930329099,M
chuck,0.1384984853630413,-0.1615956998710357,M
miss hoover,0.1301776285130766,-0.1105825178187106,F
captain,0.0375211725126811,-0.0506479715176032,M
customer,0.0742035511152242,-0.0796714067390922,
teller,0.001862476508313,0.0011958693908412,M
guard 1,-0.0224097045437722,-0.035944991084013,M
guard 2,-0.0258711932004211,-0.0438327850860441,M
host,0.0028478472876372,-0.0202384039995744,M
orderly,0.015280386296344,-0.0155895190437354,M
wiseguy,0.0223192829487993,-0.0394782502402984,M
doctor,0.0277441267775632,-0.0385619148046697,M
snake jailbird,-0.1017901806088747,-0.0047540970678707,M
pilot,0.0189317155217798,-0.0095218921098282,M
worker,-0.0295044160854991,0.0607280516696125,
girl,-0.013527201942762,-0.0236068051610302,F
wife,-0.0017269606038078,0.0291405360770439,F
executive,0.0375571707604304,-0.0576555526419927,M
fat tony,-0.0012577794920531,0.0312718851439768,M
legs,0.0783383649640618,-0.0321056731695283,M
louie,-0.0213701807751593,0.0621304076821146,M
luann van houten,-0.0097584102484574,0.0179983139193053,F
rabbi hyman krustofsky,-0.0388664826094615,-0.0173981694353281,M
waitress,-0.0027671901483468,-0.0416929305591095,F
stagehand,0.0605730175469507,-0.0267980677236732,M
townspeople,0.0051592980690819,0.0018374717231486,
robot,0.0231522612278785,-0.0113331765438171,
lunchlady doris,0.1972121557238328,-0.146089821492982,F
football announcer,-0.0288235864544094,-0.0290992662721877,M
girls,0.0436248422985161,-0.0527898100566212,
aide,-0.005495259693627,0.0006088567122652,M
everyone,0.0204412550166605,-0.0968400584999592,
bartender,0.0215100095169989,0.009603777351181,M
charlie,0.036532587727253,0.0076743860372132,M
driver,0.0593749754529661,-0.0482601546422359,M
boy,-0.0245177243291782,0.033735855248065,M
sideshow mel,-0.1079544219691547,0.0773165348967848,M
tour guide,0.0100712714427493,-0.0495059947951802,M
employee,-0.0482781969151947,0.0345486409626269,
god,0.0440851541248825,-0.0087124811224958,
comic book guy,-0.0615774108194026,0.1037294399772873,M
kirk van houten,-0.0379666107572351,0.0599745562369264,M
teachers,-0.0197676701564838,-0.0006797803182287,
santa claus,-0.0301523263944122,0.0313253185629933,M
bumblebee man,0.1061779428633572,-0.0629024454791778,M
squeaky-voiced teen,-0.1495921413919868,0.189005350958244,M
mailman,-0.0539224102883347,0.017109789466183,M
old woman,0.0164335762124356,-0.093364006682647,F
captain horatio mccallister,0.0284035602288634,-0.0271574467682733,M
hans moleman,0.0499091645790249,-0.0229601840317991,M
reporters,0.055994307888732,-0.0591568560235723,
boys,-0.0649531947085799,0.0750135813241117,
santas little helper,-0.001635717741597,0.0713121801090395,
cat,-0.012750593288522,0.0125731206173067,
gary chalmers,-0.0496146960943472,0.1581591616755694,M
hitler,0.0473836597503252,-0.0371525453818682,M
actor,-0.0404981344565994,0.0234586567155287,M
assistant,0.0312259962417688,-0.0133356948113099,
rainier wolfcastle,0.0194261677481297,-0.0152161905394707,M
sarah wiggum,0.0070374550218869,-0.0059459386573963,F
womans voice,0.0161744737233553,0.0270069829087285,F
workman,0.0315778689531696,-0.0300652913516261,M
technician,0.0452939131164656,0.0190582412067693,M
female executive,-0.0699388750611356,0.025361143275728,F
congregation,0.0100002660603724,-0.0065589428772047,
bill clinton,-0.0920415118725597,0.0309002730006837,M
cletus spuckler,-0.1279948529435151,0.1697949109591316,M
class,0.055345953368683,-0.012547243438628,
luigi,-0.0935707700373516,0.0910552023008346,M
old jewish man,-0.1004877529934605,0.1118101020778574,M
snowball ii,0.0399839331668585,-0.018743823501537,
Ãœter,0.1011414870141659,-0.0575870991058822,M
the rich texan,-0.0881555409691416,0.0819649165133172,M
database,-0.0137391835361585,0.0450502835485894,
disco stu,-0.0654107220900326,0.0583486183732992,M
brandine del roy,-0.1493469489855057,0.1605013694742723,F
simpsons,-0.0018899706210767,-0.0321761532515297,
women,-0.0511934264004757,0.0199687835269992,
manjula nahasapeemapetilon,-0.0499042462218131,0.0150967152190077,F
drederick tatum,-0.0920456488127453,0.0636772530563291,M
bernice hibbert,-0.1004645396704221,0.1085576835734793,F
paramedic,-0.0959245728664657,0.0790265604931067,M
duffman,-0.0598739643981926,0.0618034970001843,M
gil gunderson,-0.102255206849151,0.0822699142455718,M
mr teeny,-0.0489676337442038,0.090162432929956,
bullies,-0.0480118853648777,0.0418682279695393,
cat lady,-0.1261398209527001,0.1061785677607533,F
cow,-0.039997475809104,0.0472689372761395,
minister,0.00983074774848,-0.0045887747813673,M
mrs muntz,-0.0869430915597352,0.1130160914713035,F
lindsay naegle,-0.0882045032469154,0.07757047151809,F
johnny tightlips,-0.064802649331674,0.0877698916841056,M
springfielders,-0.0752954500027786,0.1101391231837449,
cookie kwan,-0.0897119732844317,0.0806149578578307,F
julio,-0.0737122978816787,0.108395992353661,M
coach krupt,-0.0956123622314067,0.0864968550387729,M
lunchlady dora,-0.0988656905483993,0.1553113085405056,F
shauna chalmers,-0.0645175105923835,0.116152771045828,F
